0	1	date	adresse
-94.148036	36.334145	07/01/1962	2110 WEST WALNUT
-92.966037	36.203334	08/01/1964	1417 HWY 62/65 N
-83.459929	34.24863	04/12/1988	30983 HWY 441 SOUTH
-94.513179	36.181117	08/01/1965	2901 HWY 412 EAST
-92.439708	35.110687	05/01/1972	1155 HWY 65 NORTH
-92.275897	34.790476	10/01/1967	3801 CAMP ROBINSON RD.
-92.72818	35.131691	10/01/1967	1621 NORTH BUSINESS 9
-89.579482	36.86933	03/01/1968	1303 SOUTH MAIN
-94.977187	35.890855	07/01/1968	2020 SOUTH MUSKOGEE
-92.465717	36.452566	03/01/1968	65 WAL-MART DRIVE
-95.60734	36.32548	07/01/1968	1500 LYNN RIGGS BLVD
-94.310477	37.141918	11/01/1968	2705 GRAND AVE
-92.649472	37.658495	04/01/1969	1800 S JEFFERSON
-91.860475	36.727714	05/01/1969	1310 PREACHER RD/HGWY 160
-94.356251	35.469947	04/01/1969	2214 FAYETTEVILLE RD
-94.394421	36.841485	05/01/1969	3200 LUSK DRIVE
-91.21215	35.71028	11/01/1969	2500 MALCOLM ST/HWY 67 NORTH
-90.408144	36.755411	04/03/1990	333 S WESTWOOD
-93.749461	38.366172	10/01/1970	1712 EAST OHIO
-92.146829	37.82642	03/01/1970	185 ST ROBERT BLVD
-95.319049	36.3062	10/01/1970	4901 SO. MILL ROAD
-92.0807	32.516689	11/01/1970	1201 N SERVICE ROAD EAST
-92.11035	34.883828	04/01/1971	2000 JOHN HARDEN DR
-91.884766	39.170871	02/01/1971	4820 SO. CLARK ST
-94.914155	39.319931	11/01/1970	3450 S. 4TH TRAFFICWAY
-91.546032	37.636087	02/01/1971	1101 HWY 32 WEST
-94.85117	36.976639	05/01/1971	2415 N.W. MAIN ST
-92.185145	38.564489	08/01/1971	724 STADIUM WEST BLVD
-89.953355	36.79946	11/01/1971	2025 BUS. HWY 60 WEST
-94.632948	35.045605	06/01/1971	3108 N BROADWAY
-93.259842	36.640851	06/01/1971	2050 WEST HWY 76
-93.788686	34.045389	06/01/1971	1710 SO. 4TH ST
-94.099869	37.391323	11/01/1971	2250 LINCOLN AVENUE
-96.558692	39.186668	10/01/1971	101 EAST BLUEMONT AVENUE
-90.524918	36.059925	11/01/1971	2802 WEST KINGS HIGHWAY
-90.435012	37.787944	09/01/1971	701 WALTON DRIVE
-94.800283	33.89552	12/09/1971	1907 SE WASHINGTON ST.
-94.705373	37.810235	03/01/1972	2400 SOUTH MAIN
-92.454	39.43233	11/01/1971	1301 HWY 24 EAST
-95.932435	36.739207	05/01/1972	4000 GREEN COUNTRY RD
-95.643001	37.033267	02/01/1973	1705 WEST 11TH STREET
-96.825073	39.021883	05/01/1972	521 EAST CHESTNUT ST
-92.565568	38.333763	02/01/1972	1802 SOUTH BUSINESS HWY 54
-90.685164	35.821221	08/01/1972	1815 EAST HIGHLAND DRIVE
-93.396757	37.594649	08/01/1972	2451 S. SPRINGFIELD
-94.812222	35.44892	07/01/1972	1101 WEST RUTH AVE
-93.947829	36.915901	11/01/1972	885 HIGHWAY 60
-95.510044	34.010795	10/01/1972	1911 E.JACKSON ST.
-95.143509	36.63598	09/01/1973	268 SO. 7TH ST.
-91.943907	38.86403	05/01/1973	1701 NORTH BLUFF STREET
-93.089517	34.493086	07/01/1972	1601 ALBERT PIKE BLV
-94.143611	36.167274	06/01/1972	2004 SOUTH PLEASANT
-93.902379	35.141897	10/01/1972	1555 EAST MAIN
-92.676769	36.962221	08/01/1973	1309 NW 12TH AVE
-90.971722	36.07489	10/01/1972	1600 WEST MAIN
-93.106773	35.278174	05/01/1973	2409 EAST MAIN STREET
-94.477694	37.07405	05/01/1972	1501 SOUTH RANGELINE ROAD
-90.980646	38.97841	03/01/1975	101 HWY 47 EAST
-93.737229	38.779135	11/01/1972	301 E. COOPER AVENUE
-89.856079	35.928492	11/01/1972	3700 EAST HWY 18
-95.395139	35.957489	09/01/1973	410 SOUTH DEWEY
-89.240636	35.592466	02/01/1973	100 SOUTH DUPREE
-91.15795	38.221185	07/03/1973	350 PARKRIDGE ROAD
-93.456641	35.44847	08/01/1973	1230 MARKET STREET
-94.225727	34.58631	07/01/1973	600 HWY 71 NORTH
-90.751552	35.244479	08/01/1973	800 HWY 64 EAST
-90.391083	38.212753	12/01/1973	650 SOUTH TRUMAN BLVD
-90.148524	35.154948	07/01/1974	798 WEST SERVICE ROAD
-90.95828	36.248073	11/01/1973	1415 HWY 67 SOUTH
-94.704909	37.433371	01/01/1974	2710 N BROADWAY
-96.160018	35.98849	10/01/1974	1002 WEST TAFT
-89.984357	35.697714	11/01/1973	1051 WEST KEISER AVENUE
-92.410009	31.366854	11/13/1984	3636 MONROE HIGHWAY
-93.585117	36.377735	11/01/1973	1000 WEST TRIMBLE
-97.41592	30.599448	10/30/1979	3701 NORTH MAIN ST.
-92.921458	37.336332	09/01/1973	1331 SPUR DR/ BUS. RT US HWY66
-94.546108	37.084652	04/01/1974	2623 WEST 7TH STREET
-92.33425	38.937799	06/01/1973	401 N STADIUM BL/BISCAYNE MALL
-94.63366	35.817263	06/01/1973	ROUTE 6 BOX 1895
